"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast","bn.score","arcStr","parentCount"
"204",2,75,224,426,537,646,725,803,26,5,0.0591276635583258,0.014435295928922,1.79920166489362,-10041.3740493323,-363.702109002398,1
"205",2,27,143,255,331,440,650,658,26,3,0.0643072898502262,0.0269373764988228,1.79966004748822,-5847.63707711332,-361.705610763566,2
"206",2,75,234,238,273,455,565,567,26,3,0.065493496574351,0.00546723560583096,1.81976253996942,-8650.19892488533,-364.111025264074,2
"207",2,133,549,589,594,627,630,659,26,3,0.105289049449198,0.0191663180651762,1.82242957856338,-9129.76784136627,-355.687093661715,3
"208",2,6,22,73,204,218,462,592,26,4,0.115961969390863,0.084989035459121,1.84844501672039,-6358.8862072463,-380.683986638244,2
"209",2,159,176,353,603,708,769,772,25,3,0.0541784703005681,0.02841741037902,1.78292399736688,-12647.2786423551,-350.570844872324,2
"210",2,27,158,182,195,220,815,833,25,4,0.0583647161282719,0.120002746119062,1.66921544413508,-6011.48759546727,-301.423822215582,3
"211",2,65,235,283,416,463,615,618,25,4,0.0591276635583258,0.014435295928922,1.79920166489362,-10585.7078208641,-363.702109002398,1
"212",2,54,133,509,560,572,709,724,25,3,0.0630514081659199,0.0541435438265543,1.77600503936576,-8691.46321800901,-279.621877167764,3
"213",2,80,149,156,280,572,613,689,25,3,0.0631629670241969,0.0452819245619522,1.78912505143949,-8883.14963497801,-334.747323141661,2
"214",2,246,261,326,341,514,574,639,25,2,0.0676219036013339,0.00816147061390926,1.82076150316866,-8863.33165816992,-331.854713278366,2
"215",2,42,102,243,273,378,695,789,25,2,0.154072555491354,0.0514691230549502,1.8584374527709,-7677.58677538952,-371.914952973347,3
"216",51,75,95,178,419,550,630,774,25,4,0.534606367305086,0.571650583543602,1.40639044260851,-7374.09604153276,-347.213015305588,3
"217",2,79,111,298,356,369,517,703,24,2,0.00160543444514505,0.0157618756647597,1.66414331886687,-8389.92543483944,-370.569535001767,2
"218",2,45,312,375,405,561,606,815,24,2,0.0153580841788064,0.06269187725615,1.76794504195599,-10112.2446466464,-359.402581155626,3
"219",2,86,87,161,190,206,258,414,24,2,0.021996062220156,0.01708694487632,5.13993227768611,-11201.7741008856,-367.088779851426,3
"220",2,76,444,489,583,645,747,755,24,3,0.0365108244910832,0.0265012532895299,1.83429624828679,-11504.9931835952,-373.295096488289,2
"221",2,86,87,161,190,258,400,475,24,2,0.0436744681817653,0.0035913131014409,1.78966192728338,-12850.442512316,-355.378707748364,3
"222",2,133,346,589,594,609,630,659,24,2,0.0591276635583258,0.014435295928922,1.79920166489362,-9720.65548749357,-363.702109002398,1
"223",2,37,88,381,450,556,757,809,24,3,0.0591276635583258,0.014435295928922,1.79920166489362,-9238.18243908768,-363.702109002398,1
"224",2,91,100,165,501,584,643,703,24,2,0.0591276635583258,0.014435295928922,1.79920166489362,-7154.96177532866,-363.702109002398,1
"225",2,72,305,346,475,529,545,652,24,3,0.0591276635583258,0.014435295928922,1.79920166489362,-9027.45702104406,-363.702109002398,1
"226",2,210,230,237,344,424,694,754,24,3,0.0597724849529204,0.0266828636552205,1.79211178976744,-9151.71666436997,-348.542884764293,2
"227",2,89,135,198,306,419,446,694,24,4,0.0684290167217323,0.0186674996846652,1.84675955985239,-9834.66618386283,-327.436060453289,3
"228",2,61,65,143,155,316,425,493,24,3,0.10475367572193,0.00250989341885743,1.8415677602385,-7750.14212146699,-292.116675762741,3
"229",2,42,182,236,290,375,413,540,24,5,0.10728287252582,0.0316157451416017,1.85754791773847,-10538.5687165401,-349.298483481351,3
"230",2,54,133,135,509,560,709,747,23,3,0.0365108244910832,0.0265012532895299,1.83429624828679,-9686.25722547342,-373.295096488289,2
"231",2,32,155,445,682,698,791,845,23,2,0.0591276635583258,0.014435295928922,1.79920166489362,-5156.55975949882,-363.702109002398,1
"232",2,104,127,185,286,478,696,701,23,3,0.0591276635583258,0.014435295928922,1.79920166489362,-8446.51326219175,-363.702109002398,1
"233",2,107,404,475,553,562,750,804,23,3,0.0591276635583258,0.014435295928922,1.79920166489362,-11918.3887145552,-363.702109002398,1
"234",2,74,289,364,433,490,513,655,23,2,0.060680502696018,0.00840453951530851,1.84111655045487,-8417.80000131996,-264.072383178381,2
"235",2,246,261,326,341,574,606,639,23,3,0.0676219036013339,0.00816147061390926,1.82076150316866,-8434.16713936182,-331.854713278366,2
"236",126,164,215,303,320,395,650,757,23,3,0.268091261365468,0.255678425086793,2.02233951743206,-8836.41572187255,-88.1320597907159,3
"237",2,45,200,312,382,405,561,606,22,2,0.0153580841788064,0.06269187725615,1.76794504195599,-9875.54232739053,-359.402581155626,3
"238",2,4,43,174,200,402,543,593,22,4,0.0283236983010129,0.0518367127035382,1.7594209030973,-12383.3459507723,-348.930394982997,2
