"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast","bn.score","arcStr","parentCount"
"133",2,198,201,483,638,658,665,733,32,3,0.0591276635583258,0.014435295928922,1.79920166489362,-7253.4334100663,-363.702109002398,1
"134",2,107,209,225,397,511,545,638,32,3,0.061127018544509,0.00951571138499463,1.81032948778905,-8988.36336520901,-344.083219815058,2
"135",2,307,425,486,523,629,725,745,32,3,0.0796534608244954,0.0131611964997913,1.84030013034052,-5563.33981628217,-368.801875067429,3
"136",2,350,426,556,737,751,770,784,32,4,0.108681369762622,0.0702505700778484,1.89277326075746,-8261.35323488652,-373.715570917905,2
"137",65,147,549,610,627,665,711,845,32,4,0.53010271775497,0.690825514835148,1.04558469145142,-7037.16065505147,-271.281138387051,3
"138",2,30,149,227,237,280,285,355,31,3,0.0110656631109689,0.0617788678841633,1.76258446806808,-8493.12841954204,-327.069406361023,2
"139",2,99,124,191,308,492,654,677,31,3,0.017827392950408,0.0907734015479207,1.73842107798163,-7727.07459290749,-322.630789243618,2
"140",2,46,107,266,416,547,680,747,31,2,0.0365108244910832,0.0265012532895299,1.83429624828679,-8432.69293566927,-373.295096488289,2
"141",2,124,132,202,240,325,567,668,31,3,0.0410963182794888,0.0175568369612003,1.78700685453238,-7686.43554183889,-345.770755505281,2
"142",2,354,371,381,434,596,602,629,31,5,0.055028343920803,0.0341895700960786,1.79205908182863,-10707.5988104718,-256.262495380624,3
"143",2,5,181,221,261,349,407,770,31,4,0.0591276635583258,0.014435295928922,1.79920166489362,-7951.15098316558,-363.702109002398,1
"144",2,6,282,283,457,461,711,719,31,3,0.0591276635583258,0.014435295928922,1.79920166489362,-7799.01272416079,-363.702109002398,1
"145",2,146,284,330,349,393,589,699,31,4,0.0591276635583258,0.014435295928922,1.79920166489362,-9208.77715375387,-363.702109002398,1
"146",2,21,23,72,135,137,191,821,31,4,0.0596647327241637,0.0537450786333,1.86475220628338,-8289.1353811981,-383.078332697079,2
"147",2,157,188,336,344,434,561,723,31,5,0.0597724849529204,0.0266828636552205,1.79211178976744,-8558.65834407473,-348.542884764293,2
"148",2,22,47,56,249,343,670,691,31,2,0.0656362678964129,0.0654014170344173,1.85036810485399,-8363.73992132963,-319.614921669318,3
"149",2,4,144,207,281,316,627,809,31,4,0.0848442351008747,0.200191428296789,1.76013169784442,-7599.61739458583,-333.359331019154,3
"150",2,107,396,412,422,625,733,856,31,2,0.0951162920792075,0.00804122136562313,1.79357813401797,-9199.8217160168,-371.559430199292,3
