"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast"
"1906",14,297,436,458,476,661,677,833,48,7,0.312897985506495,0.181497284910109,3.78325158895868
"1907",51,94,180,282,327,431,485,840,48,3,0.313228966979973,0.28828913155896,3.25264020775676
"1908",21,201,244,358,405,674,746,772,39,3,0.31329961241435,0.123257446403866,3.71041669786924
"1909",25,194,201,346,581,649,783,844,54,3,0.313818177581199,0.427197160738201,3.30213337098056
"1910",23,63,108,188,205,442,458,626,51,5,0.313938877136375,0.143834400419288,3.88589359048834
"1911",26,147,213,393,482,528,567,626,53,6,0.314360155708181,0.199021019612267,3.79818523101189
"1912",36,62,274,547,560,643,662,782,46,2,0.314733559339072,0.246157421544998,3.95862194443036
"1913",19,45,249,263,301,424,628,840,42,5,0.31528225993129,0.393178046767465,3.28170017934427
"1914",14,129,278,415,429,437,525,529,45,3,0.315907017339868,0.0972584620509696,3.63572706997442
"1915",139,275,429,498,557,714,786,819,52,3,0.316447608128115,0.163873128711849,3.80521672597362
"1916",62,256,369,556,626,640,642,672,32,5,0.31670470170148,0.244139271878662,3.91219259131903
"1917",255,390,426,553,574,629,697,848,53,4,0.31750891854448,0.593839855409942,2.7760559100103
"1918",129,165,245,345,354,578,834,840,56,3,0.320338478279362,0.383948808054825,3.25561401382075
"1919",16,250,288,326,404,412,708,749,41,4,0.320519887731086,0.212008579405094,3.64297698504778
"1920",15,34,165,191,220,358,446,481,49,2,0.321058764929373,0.275201483433118,3.79430470598537
"1921",23,280,378,460,577,619,832,843,47,5,0.32123123985621,0.225141254251886,3.77024953580849
"1922",143,343,370,374,470,661,684,788,38,5,0.321502196337857,0.0157247421464022,3.67592671810629
"1923",43,175,233,265,629,691,738,842,42,3,0.322473144346868,0.438556326283505,2.81707776766392
"1924",93,141,145,314,429,436,613,692,56,4,0.322767312688054,0.23283692873258,-17.8817641523182
"1925",30,152,156,164,213,424,777,833,53,5,0.322852881947197,0.206775080867094,3.76479821402569
"1926",74,146,186,209,482,612,619,787,46,4,0.323315721783654,0.173808328842688,3.8745061680545
"1927",98,207,338,431,456,496,540,656,58,5,0.324125280808651,0.0707329188522361,3.45431691220297
"1928",55,175,187,256,405,441,776,793,49,5,0.325356365392076,0.238248250507719,3.85004106833867
"1929",50,67,148,429,519,668,736,852,55,4,0.326475297178095,0.223745578688769,3.90622217739975
"1930",201,325,327,402,476,495,601,656,42,4,0.326617255130124,0.378690689259012,3.20160593402796
"1931",37,47,259,364,567,588,640,840,48,4,0.32722791831442,0.485419607394099,3.11851124911006
"1932",114,227,247,334,662,790,802,840,44,4,0.328096954353825,0.340452918756431,3.30380268502261
"1933",264,340,357,385,438,619,772,834,50,2,0.32843017770109,0.300768282113428,3.81082013784802
"1934",36,176,412,421,473,517,735,832,25,3,0.328432204077897,0.209963850478819,3.62753504308401
"1935",26,145,303,609,619,767,841,854,55,4,0.328755940590308,0.221972957175554,3.80172724846259
"1936",48,104,201,361,435,451,787,803,44,4,0.329115263186324,0.473376646959088,3.36905605139486
"1937",215,231,246,288,613,757,789,830,45,3,0.329170202264082,0.228494599035976,3.64073906927347
"1938",116,201,230,333,356,547,649,650,53,3,0.329339417541149,0.450143062316235,3.27836984317882
"1939",99,235,237,266,348,415,748,840,36,3,0.329694939970619,0.545126392862773,3.08218647762874
"1940",48,201,228,333,462,508,613,814,52,4,0.330383404996132,0.642197077870708,2.95746299752128
"1941",57,63,95,240,320,380,624,833,35,2,0.331518971658403,0.228089608411084,3.85748415053096
"1942",34,137,295,412,569,621,818,832,38,3,0.33356217769914,0.222936775347051,3.66814618514048
"1943",14,186,191,391,439,553,819,844,47,6,0.333610229591518,0.277552290577594,3.79348396124095
"1944",40,57,67,120,191,350,540,567,52,3,0.334819867290839,0.196413614205408,3.74555881401326
"1945",61,191,265,372,411,564,629,773,53,4,0.334970892961145,0.270220817772022,3.70276870220733
"1946",8,10,191,265,629,710,725,772,50,5,0.334970892961145,0.270220817772022,3.70276870220733
"1947",251,344,460,485,664,733,798,833,42,2,0.335397152471413,0.227113703268112,3.82297197866646
"1948",210,268,277,405,522,572,701,849,46,4,0.335766624095152,1.22959764642973,2.44249585759795
"1949",443,514,636,669,703,781,809,840,51,4,0.337243085184423,0.314139773017402,3.92654555605055
"1950",200,214,265,272,429,509,536,640,53,2,0.337962500729389,0.230235466984886,3.82376146573949
"1951",34,191,213,298,319,439,606,837,54,4,0.338259762991419,0.228226897899528,3.71731945458988
"1952",35,107,302,304,365,643,723,796,54,3,0.338769669188357,0.378275943383257,3.96639723645504
"1953",11,227,322,377,400,412,600,803,40,4,0.339078422427779,0.254142054205957,3.67855091851017
